person_pdbId,name,bio,region
11,"RAJA AMARSINGHJI OF BANERA, RAJPUTANA","was born on the 2nd August, 1886. The Estate is 250 square miles in area with a population of 28,115 souls. Raja Sahib belongs to the Sisodia clan of the Udaipur House. He has married the sister of the Maharaja of Sarguja and has by her three sons. Rajkumar Partapsinghji is Heir-apparent. Maharaja Rajsinghji I, of Marwar. In compliance with his father's The House was founded by Raja Bhimsinghji I, son of wishes he renounced his right and title to the Gaddi of Udaipur in favour of his younger brother, Maharana Jaisinghji. At first Raja Bhimsinghji fought bravely against Aurangzeb but sub- sequently fought in the wars of the Deccan for the Emperor, having been enlisted in the Imperial Army as a Mansabdar and honoured with the title of Raja. The present Raja Sahib is twelfth in descent. He holds very liberal views and has travelled extensively over India and the Continent. Under his personal guidance the administration has been improved on modern lines and education has made much headway. A general hospital with an indoor ward for patients is one of the gifts of his munificence. Raja Amarsinghji of Banera. The Rajasahib is a member of the Mahendra Sabha, the Rajput Hitkrani Sabha, and the Kshatriya Vidya Parcharni Sabha. The Raja Sahib pays a ceremonial visit to His Highness the Maharana Sahib of Udaipur every Dasehra when His Highness comes to receive him outside the city gate. Raja Sahib enjoys certain special privileges peculiar only to Banera House.",ALL India
12,RAI BAHADUR SIR SERAYMAL BAPNA,"KT., C.I.E., son of Chhogmalji Bapna, of Udai- pur; b. 1882; ed. at Government College, Ajmer, and at Muir Central College, Allahabad (B.A. and B.Sc. Honours, LL.B. 1904) practised Law in British India for a year; served in Mewar as a Judicial Officer for 11 year; joined Holkar State service as a District and Sessions Judge, 1907; appointed Law Tutor to H. H. Maharaja Tukoji Rao Holkar III, 1908; 2nd Secretary to His Highness 1911, and 1st Secretary, 1913, and Home Minister 1915 retired 1921 subsequently became a Minister in Patiala State; re- joined Holkar State service as Home Minister 1923; appointed Deputy Prime Minister 1923; and Prime Minister and President of the Cabinet 1926; a Sub- stitute Delegate at Round Table Conference 1931, and Delegate to the Assembly of League of Nations 1935; has Coronation Medal (1911) received title of Rai Bahadur 1914, Aitmad-ud-Dowlah 1920, and Wazir-ud- R. B. Sir Seraymal Bapna, Kt., C.I.E., Indore. Dowlah 1930; m. 1896, Shrimati Anandkumari, daughter of Mehta Bhopal Singh, Diwan of Udaipur State; cr. C.I.E., 1931; Knight, 1936. Address: Baxibagh, Indore, India.",ALL India
13,PRADYUMNA KUMAR BANERJEE,"Superintendent of Police, Keonjhar State, E.S.A. Born 5th October, 1898. During the Great War was on active service in Mesopotamia and Kurdistan with 49th Bengalis from 1916 to 1920 and from 1920 to 1921 served in the Department of Health Services in Mesopotamia.",ALL India
14,RAO BAHADUR RAO NAHAR SINGH,"CHIEF OF BEDLA ESTATE Udaipur, Mewar. Born 27th August, 1895. Educated at Mayo College, Ajmer. Owns Jagir worth about Rupees one lakh and is Member of the Mewar State Council. Subscribed Rs. 20,000 towards War loans and for useful work. Made Rao Bahadur in June, 1925. Has four daughters, the eldest being of 15 years.",ALL India
15,DR. KUNWAR BHAGWANRATTAN,"M.B.B.S., Chief Medical Officer, Karauli, Rajputana. Se- cond son of Thakur Harnamsingh. Born 1897. Permanent residence: Sotal, District Ambala, Punjab. Awarded Punjab Government Sanad for voluntary aid to Health Department of Ambala Dis- trict. Representative from Ambala Dis- trict to All-India Kshatria Mahasabha, 1929. Elected Member, Executive Com- Rao Bahadur Rao Nahar Singh, Chief of mittee of same, 1933. Subscribed to Bedla. Quetta and Bihar Earthquake and Royal Silver Jubilee Funds. Awarded Royal Silver Jubilee Medal.",ALL India
16,LIEUTENANT-COLONEL SARDAR BHAGWAN SINGH HARIKA,"Officer Commanding, 4th Patiala Infantry, Patiala. Born 1897. He is son of Colonel Kartar Singh and great-grandson of Bakhshi Sardar Basawa Singh, who rendered conspicuous and loyal service during Mutiny. Entered Patiala Army Service as Lieutenant in 1913, joined Great War with First Patiala Infantry, served in Egypt and Palestine and took part in the main operations of Gaza, Jerusalem and Aman. Field Marshal Lord Allenby personally thanked officers and the regiment, remarking 'The Patiala has done the impossible to keep up the Sikh tradition."" The General Officer Commanding Humphreys, 179 Brigade, observ- ed :-"" Those who have seen Patialias in action are full of praise as to their gallant behaviour."" On return to Patiala he was promoted as Captain in 1919. Served in Afghan War 1919. Was awarded various medals and clasps for meritorious war services. Was promoted as Major Commandant 4th Patiala Infantry in 1927 and as Lieutenant- Lt.-Col. Sardar Bhagwan Singh Harika, Colonel in 1932. Transferred to 2nd Patiala Infantry as Com- Patiala, mandant in 1933. Promoted as Colonel and awarded honour of Nishan-i-Phul with medal in October, 1934, then awarded His Majesty King Emperor Silver Jubilee Medal in October, 1935.",ALL India
17,RAI BAHADUR RAJ RATTAN JAGANNATH BHANDARI,"M.A., LL.B., Diwan, Idar State, Himmatnagar. Born 1882. Educated at Government College, Lahore, and Law College, Lahore. Practised at Ferozepur till 1914; appointed Private Secretary to His Highness, Idar State, 1914; served in Idar State as Political Secretary and Officiating Diwan till 1922; left service and resumed practice at Lahore High Court; appointed Dewan, Idar State, 1931.",ALL India
18,RAJYA BHUSHAN RAI BAHADUR SETH KANHAIYALAL BHANDARI,"head of the firm of Messrs. Nandlal Bhandari, came into prominence by to the Oswal Captain of Industries in Central India, was born in 1888. He belongs cial magnate and Nandlal Bhandari & Sons, Indore, and a leading businessman, commer- sheer Magistrate. perseverence and straightforward dealings. He was a Municipal Corporator and next to In Motilal, and Seth Suganmal is the Honorary him is Seth The eldest amongst his three sons is Rai Bahadur Kanhaiyalal. The 1919 Rai Bahadur Kanhaiyalal took the youngest. State Mills on lease for twenty years and in 1922 floated a Limited concern under the style Nandlal Bhandari Mills, Ltd. The mills are regarded as the best managed and most efficient in Central India. The Nandlal Bhandari Metal Works started by him is the only enterprise of this kind in Central India. He dedicates all works of public charity to the sacred memory of his father. He has built Nandlal Maternity Home at the cost of Rs. 70,000 and with a recurring expense of Rs. 20,000 a year chiefly for the working and middle class people. All the Bhandari concerns have received words of approbation from distinguished visitors. Rai Bahadur loves Rampura, his native place, very much. He spent Rs. 35,000 for building a boarding house there and provided Rampura State Hospital with an Operation Theatre. He also constructed at the expense of Rs. 7,000 two family wards in Maharaja Tukojirao Hospital, Indore. At a critical time he do- nated Rs. 25,000 to the Medical School of the King Edward Hospi- tal, Indore, receiving a striking tribute from the Hon'ble the Agent to the Governor-General in Central India. He spent Rs. 65,000 for a good building for the Nandlal Bhandari High School which also gives technical training and costs him annually rupees 15,000. Rajya Bhushan R. B. Seth Kanhaiyalal He often gives scholarships to poor students. Bhandari, Indore. He is First-Class Honorary Magistrate and was for some time a Municipal Councillor. He is Vice-President of the Millowners' Association and Director and Managing Agent of several concerns. He is made Treasurer of Dewas State 2 in 1935. He was awarded the title of 'Rajya Bhushan' by the Holkar Government and that of 'Rai Bahadur' by the Government of India. He is keen on social reform. He has implicit faith in practical knowledge. His brothers have got thorough practical training and are managing the mills efficiently. One of his nephews, who has returned from England, is also receiving practical training. Mrs. K. N. Bhandari takes motherly interest in the working of the Nandlal Bhandari Maternity Home. She is the first lady amongst the Oswal community to have visited England.",ALL India
19,THAKUR BIJAI SINGHJI,"of Jhalamond House Thikana, Jodhpur Marwar, represents a family noted for its nobi- lity and valour as well as fidelity to the Ruling House of Jodhpur. In Sambat 1902 Thakur Ghambir Singhji, an outstanding personality among his ancestors, got this Thikana, consisting of 12 villages with an annual income of Rs. 50,000, from Jodhpur State in recognition of his loyal services. He also got double Tazim from the State and Hath-ka-Kurab. Thakur Ghambir Singhji was at that time Chutabhai of Dhamodar, a first-class Thikana in the Partabgarh State. The Ruling House of Partabgarh belongs to the same stock as the Maharanas of Udaipur. Thakur Ghambir Singhji served His Highness Maharaja Takhat Singhji Sahib Bahadur of Jodhpur with exemplary zeal and devotion from the time when H.H. was at Ider and it was in recognition of those services that His Highness was pleased to grant him the above Jagir. His Highness also married the Thakur Sahib's second sister at Jhalamond. Maharaja Partab Singhji, Maharaja Jaswant Singhji and Maharaja Kishore Singhji of Jodhpur were thus the Bhanazas (nephews) of this Thikana. In other words, their Thakur Bijai Singhji of Jhalamond, Jodhpur State. Nanana was at this Thikana. On the death of Ghambir Singhji his two wives (Thakranis) burnt themselves alive with the funeral pyre of their husband. That was the last instance of Sati in Marwar. Thakur Ghambir Singhji had got four sons. Two of them went back to Damodar and two remained at Jhalamond. Of the latter one got the Thikana as a Patwi and the other got one village, Kanecha. Thakur Zawar Singhji, the grandson of Ghambir Singhji, died in young age, leaving behind one son, Thakur Dongar Singhji, who lived to be an outstanding personality in his time. He rendered faithful and distinguished services to His late Highness Maharaja Sardar Singhji Sahib Bahadur, G.C.S.I., of Jodhpur and also acted as a guardian of the present Maharaja, His Highness Shri Umaid Singhji Sahib Bahadur, G.C.I.E. Thakur Bijai Singhji used in his boyhood and youth to live with His Highness. His Highness has always been very kind to him and his family. The Thikana has got Judicial power from the State and the Thakur Sahib is sparing no pains to improve the Thikana in every way. He is always loyal to the State.",ALL India
20,THAKUR BHEROONSINGHJI,"Thakur of Thikana Khejarla, an estate under the Jodhpur Durbar, is situated at a distance of forty miles to the east of Jodhpur. The present Thakur Bheroon Singh was born on the 31st August, 1913, and succeeded to the gaddi when he was about three years old. He was educated at the Mayo College, Ajmer, where he distinguished himself both in study and sports. Of a remarkable simple disposi- tion, the young Thakur possesses a charming person- ality and enjoys the esteem and affection of his sub- jects. His recreations are shooting, riding and tennis. The holders of this Jagir come of the same princely stock as the Ruling House of Jaisalmer. This Thikana enjoys high Izzat styled as double Tazim and Hath-ka-Kurab and is invested with first-class Judicial powers. Fifth in descent from Arjunsingh after whom the holders of this Jagir are named Arjunsinghot, Thakur Kesrisingh received in grant the Thikana of Khejarla from Maharaja Soorsingh of Jodhpur in Samvat 1702 in return for services rendered to the Maharajah. Thakur Arjunsingh and his father, Chhatarshal, were warriors of a high order. The father sacrificed his life, along with his contingent of 1,500 soldiers, in the cause of Rao Ridmal, Ruler of Jodhpur, in Samvat 1487 at the historic fort of Chittor in Mewar. The son, Arjunsingh, subjugated the truculent Afghans in return whereof the Emperor of Delhi conferred upon him a Panj-hazari Mansab, the Subedari of Ajmer and a Jagir of 24 villages. Thakur Arjunsingh also rescued, at the cost of his own life, Rao Jodha, Ruler of Jodhpur, when the latter, having captured Seth Padma, was pursued and overwhelmed by an army from Mewar. His son, Thakur Hathe- singh, showed conspicuous gallantry in Jodhpur's conquest of Ahmedabad. The ancestors of the present Thakur have always Thakur Bheroonsinghji of Khejarla, Jodhpur State. been conspicuous for their loyalty and devotion to the Ruling House of Jodhpur both in times of peace and war, and successive rulers of this largest State in Rajputana have unstintedly acknowledged their meritorious services by grant of Sanads and autographed letters addressed to the present Thakur's forbears. The present Thakur is universally popular for his many eminent qualities of head and heart.",ALL India
21,RAI BAHADUR ARUN BOSE," M.B.E., Dewan of Bamra State in Orissa, succeeded in this post 1903 in under 1935. joined Mr. of H. Bengal McPherson He the Provincial Civil Service in creation to of the Province of Bihar and Orissa in 1912 was transferred the Government and on the appointments, in having been promoted to the rank of District Officer that Province, where he held several important administrative Labour 1929. During the Great War the Rai Bahadur raised a special Corps for France as a Recruiting Officer. For his splendid recruiting of and other War services he was awarded the insignia the Most Eminent Order of the British Empire, also the Govern- ment and of India Army Department Medal and Recruiting Badge the Local Government Sanad for recruiting. He was in charge of the reception of His Royal Highness the Prince of Wales at Patna in 1922. His services were specially requisitioned at Muzaf- farpur in connection with the earthquake relief operations. He joined his new appointment on retiring from British Service in August, 1935.",ALL India
22,PC. CHATTERJI,"Minister,Udaipur State Born in March, 1888. Educated at the Government College, Ajmer. Peshkar to His Highness Maharana Sir Fateh Singhji Bahadur, 1909-1912. State Vakil attached to the Residency Mewar, 1912-1918. District Magistrate, Bhilwara, December, 1918-May, 1919. State Vakil attached to Honourable the Agent to the Governor-General in Rajputana at Mount Abu, May, 1919, to September, 1921. Member, Municipal Committee, Mt. Abu, September, 1919, to September, 1921. Minister, Udaipur, and Member, Mahendraj Sabha, 1921, which posts he still holds. Was Member, War Loan Committee, Udaipur, and Secretary, Our Day Fund Committee. Granted mementos by Lord Hardinge and Lord Chelmsford for services rendered in connection with Their Excellen- cies' visit to Udaipur. Granted a pair of Gold Anklets (Langars)- an honour highly valued in Indian States-by His Highness Maharana Sir Bhupal Singhji Bahadur, G.C.I.E., in 1936 in appre- ciation of his long and faithful services. Owns some landed property in Karauli and Udaipur States. Has seven sons and six daughters.",ALL India
23,SIR SHANMUKHAM CHETTY,"K.C.I.E., B.A., B.L., Dewan, Cochin State. Born 17th October, 1898. Educated at the Madras Christian College. Elected Member, Madras Legislative Council, 1920; appointed Council Secretary to the Development Minister, 1922; elected Member, Legislative Assembly, 1923, and re-elected unopposed, 1926. Visited England as one of the members of the Deputation sent by the National Convention of India, 1924 visited Australia as Indian represen- tative on the Delegation of the Empire Parliamentary Association, 1926 nominated to represent the Indian employers in the 11th and 12th sessions of the International Labour Conference held at Geneva in 1928-29 and again in 1932 re-elected unopposed Member, Legislative Assembly, 1930 elected Deputy President, Legislative Assembly, 1931; attended Imperial Economic Conference held at Ottawa in 1932 as one of the representatives of the Government of India; elected unanimously President, Legislative Assembly, 1933. Sir Shanmukham Chetty, Dewan, Cochin State.",ALL India
24,"PROF. S.G., DABHOLKAR","B.A., LL. B., Advocate, Professor of Constitutional Law, Indian Constitution and Jurisprudence, some time as Public Prosecutor in Kolhapur State. He is Sykes Law College, Kolhapur-Shahupuri. Born 1898. Served Fellow, Indian Women's University, Poona; Fellow, the Deccan Educa- tion Society, Poona; Legal Adviser, Bank of Kolhapur, Ltd., and Kolhapur Sugar Mills, Ltd. He is also Chairman, Board of Directors, Commercial Bank, Ltd., Kolhapur, and Vice-President of the Ilakha Panchayat, and for various public-spirited activities was awarded Silver Jubilee Medal in 1935.",ALL India
25,DD. DADIMASTER,"Chief Minister, Surguja State, C.P Born in Ahmedabad, Bombay Presidency, 1866. Educated in Irish Mission Presbytarian High School and Government High School respectively. Joined Government Telegraph Office after passing Pro. S.G. Dabholkar, Kolhapur. examination in General scale at Nagpur and appointed in 1887 Signaller at that place. From there transferred to Bhusawal, Akola, Amraoti, Arakan, Akyab. During Manipur War ordered to proceed there and detained on duty at Mandalay, Upper Burma. Sent on duty to Mingyan, Pakoku (Shan States) and from there to Chin Hills in charge of No. 1 Stockade Field Telegraph Office during Chin Hills Expedition against Nagas or Chins. Served there for one year, earning Expedition Medal of 1890. Went back to Mandalay and was on special duty during tour of then Governor-General, Lord Lansdowne. From Mandalay, at his request, allowed to join Berar Police as Chief Constable and rose to Inspectorship. Later taken on as Tehsildar, serving in that capacity in Amraoti and Buldan Districts. Appointed Special Famine Relief Officer, 1900. Transferred to the Melghat Tehsil, a very backward country in the Ellichpur District, and said in Government reports to have carried on some reforms. Promoted to rank of Extra Assistant Commissioner and worked in all districts of Berar as Treasury Officer and Sub-Divisional Officer. Awarded Coronation Medal 1914. Transferred from Berar Division to Seoni District, C.P., where reported to have done good work during Great War in raising funds, etc. Twice appointed Deputy Commissioner of that District and in that capacity held the great Durbar of Armistice Day in 1919. All along connected with Taluq Boards, District Boards and Municipali- ties in different districts. At the end of 1919 deputed as Chief Minister of Surguja State. Since retirement from Government service in 1923 continued to be in the State in some capacity. Awarded Royal Silver Jubilee Medal, 1935.",ALL India
26,SARDAR DINSHAH B. DALAL,"Baroda Residency. Born 1891. Permanent address : Rustompura, via S. Bahdatpur, Panch Mahal, B. S. Rly. (1). His grandfather, K. B. Rustomji S. Dalal, was the first citizen of Broach to receive the title of Khan Bahadur for meritorious Mutiny services. (2). His father, Sardar Sir Bamanjee A. Dalal, M. L. A., was among the foremost members of the landed aristocracy of Gujarat and a first-class Sardar, and owed that position not to the possession of rich hereditary acres, but to a sustained and strenuous effort at pioneer colonisation extending over nearly half a century which can find few parallels in the annals of rural India. He colonised, after 20 years' tireless exertions, an area measuring 3,500 acres of waste and forest land which was originally occupied by a few Bhil huts, but which now embraces within its limits six smiling and prosperous villages with a population of some 3,000 souls. (3). Sardar Bamanjee was a Special Magistrate and a member, District Local Board of the Panch Mahal, for over a quarter of a century. During the War he supplied many recruits, subscribed to the War loans to the extent of Rs. 50,000, and by lending money Sardar Dinshah B. Dalal, M. L. c., Baroda. 232 to his tenants enabled them to purchase War Bonds to the extent of another Rs. 35,000. (4). Sardar Dinshah B. Dalal is in every respect a worthy representative of the family. He holds the Agricultural Diploma. He has worked with dis- tinction as President of the Honorary Bench Magis- trates and also as Chairman of the Co-operative Society and during the Great War he did very useful work as a Recruiting and War Loan Officer. (5). Inheriting enterprising spirit and a disposit- ion for an achievement of what would make for the welfare of the peasantry he undertook colonisation work in Modasa Mahal, in the Ahmedabad District, on his own account in the year 1922 and succeeded in having four flourishing hamlets. He was made Second-Class Sardar on 23rd April, 1935. (6). Apart from his father's land share in Panch Mahal, he owns about 1,000 acres of land and pays nearly Rs. 900 as assessment and apart from the family's charities amounting to more than a lac of rupees his donations amount to Rs. 10,000 in different institutions in the name of late Sir B. A. Dalal, Rs. 12,000 on Kherwadi Rustompur Road and Rs. 5,000 in Sir Frederick Sykes' village uplift movement, &c. At the height of the Non-co-operation move- ment he was called upon to stand for the Bombay Legislative Council and was successful against 3 other candidates. Sardar Sir Bamanjee A. Dalal, M. L. A., Baroda. He has one son and one daughter.",ALL India
27,DIWAN BIRENDRA KISHORE DAS,"M.B.E., Narsingpur State, Eastern States Agency. Born 1882. Permanent residence Bankabazar, Cuttuck, Orissa. Educated in Rav- enshaw Collegiate School and Ravenshaw College, Cuttuck. Owns Zamindaries. Grandfather was Deputy Collector. Father, late Rai Nanda Kishore Das Bahadur, was Deputy Commissioner. Eldest brother, Rai Bahadur Raj Kishore Das, retired Deputy Collector, was made Rai Bahadur for bringing order out of Puri Temple chaos as Manager of the Temple on deputation and also awarded a medal. Mr. Birenda Kishore Das was at first appointed Assistant Superintendent in Keonjhar State in 1908, transferred to Athgarh as Superintendent in 1918 and appointed Dewan in Narsingpur State in 1931. During the Great War organised War loan and labour recruits from Keonjhar and Athgarh States and was awarded the M.B.E. title in 1920. He actively participated in the last Jubilee celebrations.",ALL India
28,RAO SAHIB NICHHABHAI KALLIANJI DESAI,"B.A., LL. B., Dewan, Sant State, Gujarat. Born 19th July, Diwan Birendra Kishore Das, M.B.E., 1875. Educated at Anglo-Vernacular School, Bulsar; Narsingpur State. New High School, Bombay Elphinstone College and Government Law College, Lahore. Was Mathematics Teacher, Cathedral Boys' High School, Bombay; Pleader, Bombay High Court; Nayadhish, Sant State, 1904-12; Dewan, Sant State, since 1912. Received certificate of merit for assisting in War Loan, 1917 made Rao Sahib, 1934 and awarded Silver Jubilee Medal, 1935.",ALL India
29,RAJRATNA MRS. DIPAKBA DESAI,"Baroda, daughter of Dewan Bahadur Manibhai Jashbhai, late Dewan, Baroda State, was born in 1881. Her husband, Mr. Himatbhai Parbhulal Desai, is a pleader at Baroda and owns landed property in British India and Baroda and Cambay States. She is a well-known Gujarati poetess. She has learnt music and prosody under eminent scholars. She is awarded Rajratna Silver Medal for meritorious services as a member of the State Committee to suggest rights for women and for her public services for the welfare of women. She is the recipient of Exhibition Gold Medal for bead-work.",ALL India
